Comparison|||The company had a tax credit of $1.4 million|||In the year-earlier quarter, the tax credit was $3.3 million
Expansion|||Though it collects such data daily, its monthly reports on program trading usually come out about three weeks after each month ends|||The September figures are due to be released this week
Expansion|||But stunning volatility was produced in the process|||The Dow Jones Industrial Average plunged a breathtaking 63.52 points in the first 40 minutes of trading Monday as stock-index arbitrage sell programs kicked in
Expansion|||At about 10:10 a.m. EDT, the market abruptly turned upward on stock-index arbitrage buy programs|||By day's end, the Dow industrials had rebounded 88.12 points, or nearly half of Friday's drop
Expansion|||Some of those folks were coming back|||We had heard from people who hadn't been active" for a long time
Expansion|||It's going to set things back for a period, because it reinforces the concern of volatility|||it will shake confidence one more time, and a lot of this business is based on client confidence
Expansion|||the reaction from individual investors this week has been almost eerie|||Customers and potential customers are suddenly complaining about the stock market in the exact way they did in post-crash 1987
Expansion|||The kinds of questions you had before have resurfaced|||I can just tell the questions are right back where they were: `What's going on?,' `Can't anything be done about program trading?,' `Doesn't the exchange understand?,' `Where is the SEC on this
Expansion|||But those dollars have been going into such "safe" products as money market funds|||At discount brokerage Charles Schwab & Co., such "cash-equivalent" investments recently accounted for a record $8 billion of the firm's $25 billion of client's assets
Expansion|||Investors will develop "thicker skins," and their confidence will return|||Friday's plunge was nothing more than a "tremendous reaction to leveraged buy-out stocks
Expansion|||We were expecting it, following the fall of the Dow Friday|||It's the proverbial flight to safety
Expansion|||money funds continue to offer better yields than other comparable investments|||The average seven-day compound yield on the 400 taxable funds tracked by IBC/Donoghue's was 8.55% in the latest week, down from 8.60%
Expansion|||Money-fund assets have been rising at an average rate of $1.6 billion a week in recent months|||In the latest week, funds open to institutions alone grew by $1.8 billion
Expansion|||People aren't necessarily running scared|||They're maintaining their attitude toward investing, which has leaned toward the conservative recently
Expansion|||The average seven-day simple yield of the funds fell to 8.21% this week from 8.26%|||The average 30-day simple yield was 8.26%, compared with 8.27% the week before, and the 30-day compound yield slid to 8.60% from 8.61%
Expansion|||Some funds are posting yields far higher than the average|||The highest yielding taxable fund this week was Harbor Money Market Fund, with a seven-day compound yield of 12.75%
Expansion|||Among the other high-yielding funds, Fidelity's Spartan Fund had a seven-day compound yield of 9.33% in the latest week|||The seven-day compound yield of the Dreyfus Worldwide Dollar Fund was 9.51%
Expansion|||which has been dogged with the image of not being aggressive on major breaking stories|||Last summer, the affiliates bitterly complained to network executives about the poor coverage of the student uprising in China
Expansion|||and the budget for the official residence of Vice President Quayle is more than doubled|||Even the Office of Management and Budget is remembered with an extra $1 million to help offset pay costs that other government departments are being asked to absorb
Expansion|||The large increase in Customs Service air-interdiction funds is also intended to counter smuggling|||The $196.7 million provided for fiscal 1990 anticipates the purchase of a Lockheed P-3 surveillance aircraft and five Cessna Citation II jets
Expansion|||Less noticed is a bit of legislative legerdemain by Houston Republicans on behalf of HEI Corp. of Texas to retroactively "move" a Missouri hospital from one county to the next to justify higher Medicare reimbursements|||The provision seeks to wipe out an estimated $1.4 million in claims made by the Health Care Finance Administration against HEI, which owned the hospital in Sullivan, Mo., during most of the four-year period -- 1983-1987 -- covered in the amendment
Expansion|||A year ago, Viacom had a net loss of $56.9 million, or $1.07 a share|||Interest expense in the 1988 third quarter was $75.3 million
Expansion|||For the Politburo replaced Mr. Honecker with a man cut of the same cloth: Egon Krenz, the most recent internal-security chief and a longtime Honecker protege|||East Germany, it is clear, is no Poland, where the Communist Party now shares power with the democratically elected Solidarity union
Expansion|||Still, any change in East Germany has enormous implications, for both East and West|||It raises the long-cherished hopes of many Germans for reunification -- a prospect that almost equally alarms political leaders in Moscow, Washington and Western Europe
Expansion|||Although the East German news agency ADN claimed Mr. Honecker had asked to be relieved of his duties for "health reasons," West German government sources said the 26-man Politburo had asked for his resignation at a separate meeting late Tuesday|||Mr.
Expansion|||Because Mr. Krenz has been very much in accord with the policies of Honecker|||There is no clear-cut champion of reform, that we know of, in the East German leadership
Expansion|||The removal of Mr. Honecker was apparently the result of bitter infighting within the top ranks of the Communist party|||According to West German government sources, Mr. Honecker and several senior Politburo members fought over the last week to delay any decisions about a leadership change.
Expansion|||Mr. Honecker and several key allies lost out in this battle|||Those allies included Politburo members Guenter Mittag and Joachim Hermann
Expansion|||Moreover, both men have hewn to a similar hard-line philosophy|||Notably, one of Mr. Krenz's few official visits overseas came a few months ago, when he visited China after the massacre in Beijing
Expansion|||Notably, one of Mr. Krenz's few official visits overseas came a few months ago, when he visited China after the massacre in Beijing|||He later defended the Chinese government's response during a separate visit to West Germany
Expansion|||Indeed, according to West German government sources, he was one of the leaders in the power struggle that toppled Mr. Honecker|||In recent days, Mr. Krenz has sought to project a kinder image
Expansion|||In recent days, Mr. Krenz has sought to project a kinder image|||According to a report widely circulating in East Berlin, it was Mr. Krenz who ordered police to stop using excessive force against demonstrators in Leipzig
Expansion|||He doesn't want to have the image of the gun man|||He's not a reformer -- he wants to have the image of a reformer
Expansion|||He's not a reformer|||he wants to have the image of a reformer
Expansion|||What's necessary now is the process of democratization|||Not just that people are being heard but that their interests are being taken seriously
Expansion|||that appeared to urge the new leadership to heed growing calls for change|||According to the Soviet news agency Tass, "Gorbachev expressed the conviction that the leadership of the Socialist Unity Party of {East} Germany, being sensitive to the demands of the time, . . . will find solutions to complicated problems the GDR {German Democratic Republic} encountered
Expansion|||Unlike the other nations of the bloc, East Germany is a creature of the Cold War|||Erasing the differences still dividing Europe, and the vast international reordering that implies, won't endanger the statehood of a Poland or a Hungary.
Expansion|||The East German media soon began presenting Mr. Gorbachev's speeches only as sketchy summaries, and giving space to his opponents|||By late 1988, they were banning Soviet publications
Expansion|||With this year's dislocations in China and the Soviet Union, and the drive to democracy in Poland and Hungary, the East German leadership grew still more defensive|||Politburo member Joachim Herrman confessed to a "grave concern" over Hungarian democracy
Expansion|||The first signs were economic|||Despite heavily subsidized consumer industries, East Germans have for years watched the West pull farther out ahead
Expansion|||Gingerly, some economists began to blame central planning|||Some writers in theoretical journals even raised the notion of introducing democracy, at least in the workplace
Expansion|||Their proclaimed purpose is to cleanse East Germany of its Stalinist muck|||One of their pastors has envisioned a "new utopia" of "creative socialism
Expansion|||Mr. Honecker's removal "was bound to happen|||It was only a matter of time
Expansion|||Poland plans to start negotiations soon on purchasing natural gas from Iran|||Polish Prime Minister Tadeusz Mazowiecki told Iranian Deputy Foreign Minister Mahmoud Vaezi of Poland's willingess to purchase the gas during Mr. Vaezi's current visit to Warsaw
Expansion|||plans to close a British naval base in downtown Hong Kong|||that the base will be relocated to a small island to allow downtown redevelopment
Expansion|||The Israeli and Soviet national airlines have reached preliminary agreement for launching the first direct flights between Tel Aviv and Moscow|||El Al director Rafi Har-Lev and top officials of the Soviet Union's Aeroflot negotiated a preliminary pact in Moscow this week
Expansion|||One of the two British companies still making hard toilet paper stopped production of it|||British Tissues decided to do away with its hard paper after a major customer, British Rail, switched to softer tissues for train bathrooms
Expansion|||As if this weren't enough, the Senate Judiciary Committee is getting into the act|||On Tuesday it approved Senator Bob Dole's proposed commemorative resolution designating April 24, 1990, as the "National Day of Remembrance of the 75th Anniversary of the Armenian Genocide of 1915-1923
Expansion|||Why, they wonder, should it belong to the EC|||Another anti-Turkish hook is the Islamic faith of the majority of the Turkish people
Expansion|||Another anti-Turkish hook is the Islamic faith of the majority of the Turkish people|||Turkey is not a Christian nation
Expansion|||No one has to accept the sins of the Ottoman Empire to reject that argument|||Turkey in any event is long past it
Expansion|||Turkey in any event is long past it|||The country has in recent years accepted more than 500,000 refugees from at least four bordering nations
Expansion|||The country has in recent years accepted more than 500,000 refugees from at least four bordering nations|||Kurds have inundated eastern Turkey
Expansion|||Kurds have inundated eastern Turkey|||Now it is their fellow Turks arriving as refugees from Bulgaria
Expansion|||But what the Senate Judiciary Committee has done in supporting the strongly worded Armenian resolution achieves no useful end|||it merely produces more controversy and embittered memories
Expansion|||Mr. Steinhardt was engaged in a duel with USAir|||He was threatening to take over the carrier, after spending an estimated $167 million to build an 8.4% USAir stake for his investment clients
Expansion|||He was threatening to take over the carrier, after spending an estimated $167 million to build an 8.4% USAir stake for his investment clients|||The would-be raider even hired an investment banker to give teeth to his takeover threat
Expansion|||this all goes to show that even the smartest money manager can get infected with crowd passions|||In trying to raid USAir, Mr. Steinhardt abandoned his usual role as a passive investor, and ran into snags
Expansion|||Long-term investing -- that's not Steinhardt's style|||He doesn't usually risk that much unless he thinks he has an ace in the hole
Expansion|||he's "comfortable holding USAir as an investment|||he hasn't tried to unload his holding
Expansion|||that contrary to rumors, he hasn't tried to unload his holding|||that he bought USAir stock earlier this year as "part of a fundamental investment in the airline group
Expansion|||that was an experiment he is unlikely to repeat|||you'll find I'm making a radical change in my traditional investment style
Expansion|||that earnings advanced "in the face of a drop in business, brought on by the general economic slowdown|||Revenue slipped 4.6% to $835 million from $876 million
Expansion|||For the nine months, Conrail earnings grew 0.4% to $229 million, or $3.34 a share, from $228 million, or $3.31 a share|||Revenue was flat at $2.59 billion
Expansion|||On the morning of the long-planned announcement, International Business Machines Corp. is to introduce its own new mainframe|||Their attitude is, `You want to talk mainframes, we'll talk mainframes
Expansion|||They're deliberately trying to steal our thunder|||Maybe we should take it as a compliment
Expansion|||That doesn't scare Digital, which has grown to be the world's second-largest computer maker by poaching customers of IBM's mid-range machines|||Digital hopes to stage a repeat performance in mainframes
Expansion|||Digital, based in Maynard, Mass., hopes to stage a repeat performance in mainframes, and it has spent almost $1 billion developing the new technology|||A spoiler, nimble Tandem Computers Inc. in Cupertino, Calif., jumped into the fray earlier this week with an aggressively priced entry
Expansion|||where growth has slowed to single digits in recent years|||IBM's traditional mainframe rivals, including Unisys Corp., Control Data Corp. and NCR Corp., have struggled recently
Expansion|||Digital is promising a new approach|||Digital's mainframe is designed not as a central computer around which everything revolves, but as part of a decentralized network weaving together hundreds of workstations, personal computers, printers and other devices
Expansion|||The challengers will have a big price advantage|||Digital is expected to tag its new line from about $1.24 million to $4.4 million and up, depending on configuration.
Expansion|||IBM has a near-monopoly on mainframes, with an estimated 70% share of the market|||IBM is five times the size of Digital -- and 40 times the size of Tandem -- and wields enormous market power
Expansion|||IBM has a near-monopoly on mainframes, with an estimated 70% share of the market.|||It counts among its customers a majority of the world's largest corporations, which entrust their most critical business information to IBM computers
Expansion|||Digital can expect this pent-up demand for the new VAX to fuel strong sales next year|||the 9000 could boost sales by more than $1 billion in the fiscal year beginning in July
Expansion|||to begin shipping in volume until next year|||The first model available will be the 210, which is likely to appeal to many technical and scientific buyers interested in the optional super-charger, or vector processor
Expansion|||The company has long struggled to deliver a strong mainframe-class product, and made a costly decision in 1988 to halt development of an interim product meant to stem the revenue losses at the high end|||Digital's failure to deliver a true mainframe-class machine before now may have cost the company as much as $1 billion in revenue in fiscal 1989
Expansion|||IBM will face still more competition in coming months|||Amdahl Corp has a growing share of the market with its low-priced, IBM-compatible machines
Expansion|||The paper producer reported that net income fell to $102.1 million, or $1.09 a share, from $122.4 million, or $1.29 a share, in the year-earlier period|||Sales rose 2.6% to $1.32 billion from $1.29 billion
Expansion|||that showed them to be among the most intriguing bodies in the solar system|||The photos showed active geysers on Io spewing sulfurous material 190 miles into its atmosphere and indicated that Europa may have an ocean hidden under a thick sheet of ice
Expansion|||and a number of project veterans were on hand to watch the launch|||An ebullient Mr. Johnson, wearing a NASA baseball cap and carrying a camera and binoculars, called the launch "fantastic
Expansion|||An ebullient Mr. Johnson, wearing a NASA baseball cap and carrying a camera and binoculars, called the launch "fantastic|||Benny Chin, manager of the Galileo probe, compared it to watching a child leave home
Expansion|||Benny Chin, manager of the Galileo probe, compared it to watching a child leave home|||I'm happy and sad
Expansion|||One protest did get past NASA's guard, though|||a computer virus caused anti-Galileo messages to flash onto some computer screens at NASA centers
Expansion|||The successful launch continues a remarkable recovery in the U.S. space-science program|||An unmanned spacecraft, Magellan, already is heading to Venus and is due to begin mapping the planet next August
Expansion|||An unmanned spacecraft, Magellan, already is heading to Venus and is due to begin mapping the planet next August|||Voyager 2 sent back spectacular photos of Neptune and its moon, Triton, this summer
Expansion|||Not all of NASA's space-science work will be so auspicious, though|||Around Thanksgiving, the Solar Max satellite will tumble back into the Earth's atmosphere
Expansion|||Demand for the new version was enabling Lotus to raise prices with distributors and to hold market share against Microsoft and other competitors that tried to exploit the earlier delays in Release 3's launch|||that 1-2-3 outsold Microsoft's Excel spreadsheet by four-to-one in the quarter, and held a 70% or better share of the spreadsheet market
Expansion|||but plans to accept its ouster graciously|||The city's Office of Promotion plans media events to welcome its successor
Expansion|||Our attitude is that (the ranking) is like Miss America|||Once you're Miss America, you're always Miss America
Expansion|||Many Atlantans thought Pittsburgh was an unworthy heir|||A columnist in the Atlanta Journal and Constitution wrote: "Who did the research for this report?
Expansion|||Not so|||Co-authors David Savageau and Richard Boyer, live in Gloucester, Mass., and Asheville, N.C., respectively
Expansion|||that cities have no way to rebut the book|||It's like fighting your way out of a fog
Expansion|||Valley National "isn't out of the woods yet|||The key will be whether Arizona real estate turns around or at least stabilizes
Expansion|||As the tough, slinky lounge chanteuse in "The Fabulous Baker Boys," Ms. Pfeiffer sings for herself, and more than passably well|||Her Susie Diamond handles a song the way the greats do, like she's hearing the way it should sound inside her head and she's concentrating on matching that internal tone
Expansion|||Yet her intensity stops and starts with the music|||When she isn't performing for an audience, she prepares for a song by removing the wad of gum from her mouth, and indicates that she's finished by sticking the gum back in
Expansion|||Steve Kloves, the young writer and director (he isn't yet 30), has only one produced picture to his credit|||he wrote the screenplay for "Racing With the Moon," a lovely coming-of-age picture set in the '40s
Expansion|||he wrote the screenplay for "Racing With the Moon," a lovely coming-of-age picture set in the '40s|||Both movies are infused with the nostalgic sensibility of someone much older, someone who doesn't dismiss dreams, but who also has enough experience to see his limits
Expansion|||Much of the picture's sensuality emerges from cinematographer Michael Ballhaus's slyly seductive lens work|||After working for years with Werner Rainer Fassbinder, the late German director, and more recently with Martin Scorsese ("After Hours," "The Color of Money," "The Last Temptation of Christ"), Mr. Ballhaus has developed a distinctively fluid style
Expansion|||heelsthe boys are pretty great, too|||What seemed like a good idea, to cast the Bridges brothers (Jeff and Beau) as the Baker brothers, actually turned out to be a good idea
Expansion|||When the movie opens the Baker brothers are doing what they've done for 15 years professionally, and twice as long as that for themselves|||They're playing proficient piano, face-to-face, on twin pianos
Expansion|||Yet they don't disparage their audiences by disparaging their act|||They wear tuxedos most nights, unless circumstances (a regular gig at a "tropical" lounge, for example) require them to wear special costumes, like Hawaiian shirts
Expansion|||and approaches the work like any other job|||He's even able to think of a job that takes him out of the house 300 nights a week as an ordinary job
Expansion|||He's even able to think of a job that takes him out of the house 300 nights a week as an ordinary job|||He's got a wife and two kids and a house in the suburbs; the audience sees only the house, and only near the end of the movie
Expansion|||who's managed to chisel his dreams to fit reality without feeling too cheated|||He can live with little pleasures
Expansion|||Mr. Kloves has put together some priceless moments|||These include Jennifer Tilly's audition to be the Baker Boys' girl singer
Expansion|||Ms. Tilly of the tweety-bird voice showed great comic promise during her stint as the mobster's girlfriend on the television show, "Hill Street Blues|||Here she delivers, especially during her enthusiastically awful rendition of the "Candy Man," which she sings while prancing around in a little cotton candy pink angora sweater that couldn't be more perfect
Expansion|||If you'd like to see the first time Michelle Pfeiffer sang on screen, and you have a lot of patience, take a look at "Grease 2|||You'll find her there
Expansion|||You'll find her there|||Better yet, check out the emergence of her comic persona in "Married to the Mob," Jonathan Demme's delightful Mafia comedy
Expansion|||but the list of closings changes about every 20 minutes|||This {Wednesday} morning the San Mateo bridge was open and now we are informed that it is closed
Expansion|||with Santa Fe Pacific Corp. 's rail unit the least affected by the quake|||Santa Fe stopped freight trains Tuesday night while its officials inspected track but resumed service at 10:45 p.m. when they found no damage
Expansion|||We had no serious damage on the railroad|||We have no problem to our freight service at all expect for the fact businesses are shut down
Expansion|||it suspended train service into its Oakland station|||it terminated some runs in Sacramento, relying on buses to ferry passengers to the Bay area
Expansion|||Rail-transit operations suffered little damage, according to Albert Engelken, deputy executive director of the American Public Transit Association in Washington|||The Bay Area Rapid Transit "withstood the earthquake perfectly
Expansion|||While the airport was closed, flights were diverted to airports in Sacramento and Stockton, Calif.; Reno and Las Vegas, Nev.; and Los Angeles|||United Airlines, the largest carrier at San Francisco, was operating only 50% of its scheduled service in and out of the area
Expansion|||because of damage to its terminal|||14 of its 21 gates were unusable
Expansion|||In terms of diversions, Denver's Stapleton International may have experienced the most far-flung: A United flight from Japan was rerouted there|||I think that's the first nonstop commercial passenger flight from Japan to land here
Expansion|||that the three giants plan to integrate their cargo computers and ground-cargo and air-cargo systems|||They will invest a total of 20 billion yen ($140 million) in the venture
Expansion|||JAL is talking to Lufthansa and Air France about some sort of cargo venture|||It is just one of a number of strategies JAL has embarked upon to come to terms with the situation in Europe after 1992
Expansion|||A Lufthansa spokeswoman in Tokyo said the head of Lufthansa's cargo operations had been in Toyko last week for talks with JAL|||In Paris, Air France declined to comment
Expansion|||Air France and Lufthansa last month concluded a far-reaching cooperation accord that includes air-freight activities|||They plan to increase cooperation in freight ground-handling and create a world-wide computer system to process cargo
Expansion|||and create a world-wide computer system to process cargo|||Other airlines would have access to the system
Expansion|||JAL also has signaled it is looking for toeholds in Europe before the end of 1992|||Last month, the carrier said it wanted to lease crews and planes from British Airways so it could funnel its passengers from London to other European destinations
Expansion|||Stocks rose slightly as trading activity slowed from the frenzied pace earlier this week|||Prices of long-term Treasury bonds hovered in a narrow band most of the day
Expansion|||Things are beginning to settle down|||The markets are returning to normalcy
Expansion|||New York Stock Exchange volume shrank to 166.9 million shares from 224.1 million Tuesday|||Advancers on the Big Board outpaced decliners by 822 to 668
Expansion|||The dollar dropped|||In New York late yesterday, the currency was at 141.45 yen and 1.8485 marks, down from 142.75 yen and 1.8667 marks late Tuesday
Expansion|||Whitbread already has been approached by "about half a dozen" companies interested in buying all or part of the spirits business|||the spirits operations and some California vineyards that also are being sold to fetch about #500 million ($788.8 million
Expansion|||Two other global liquor giants, Canada's Seagram Co. and Britain's Allied-Lyons PLC, also are possible buyers|||Seagram's gin is the world's No. 2 gin brand, but the company doesn't own any of the major gin brands imported in the U.S
Expansion|||Seagram's gin is the world's No. 2 gin brand, but the company doesn't own any of the major gin brands imported in the U.S|||Allied-Lyons, while powerful in whiskey, doesn't own any major white-spirit brands
Expansion|||Whitbread's spirits auction occurs amid a parallel shakeup in the British beer industry|||Earlier this year, the government announced plans to foster increased competition in the industry
Expansion|||Whitbread now intends to bolster its brewing interests, in an effort to grab a share of sales to free houses|||The company has about 13% of the British beer market
Expansion|||In addition, Whitbread intends to focus on its newer hotel, liquor store and restaurant businesses in Europe and North America|||In Britain, those interests include the Beefeater steakhouse chain and joint ownership with PepsiCo Inc. of the country's Pizza Hut chain
Expansion|||In Britain, those interests include the Beefeater steakhouse chain and joint ownership with PepsiCo Inc. of the country's Pizza Hut chain|||In Canada and the U.S., Whitbread owns The Keg chain of steak and seafood restaurants
Expansion|||Analysts and corporate officials said they expected practically no long-term disruption in shipments from the Valley of either hardware or software goods|||Intel Corp., Advanced Micro Devices Inc. and National Semiconductor Corp. were all up and running yesterday
Expansion|||Other companies, including International Business Machines Corp. and Hewlett-Packard Co., completely idled their operations because of Tuesday evening's temblor|||Personnel spent the morning inspecting buildings for structural weaknesses, mopping up water from broken pipes and clearing ceiling tiles and other debris from factory floors
Expansion|||it anticipates returning to a normal work schedule by the weekend at its San Jose plant|||that, while "things are a big mess," some 18,000 Valley employees have been called back to work today
Expansion|||that it was being "cautiously optimistic," despite not yet closely eyeballing all of its 50 buildings in the region|||Even the carefully calibrated machinery in its giant Fremont plant, to the north of the Valley, was believed to be undamaged
Expansion|||In addition, some microelectronics companies said they were prepared for tremulous conditions like Tuesday's|||Their machine tools are even bolted to the shop floor
Expansion|||Their machine tools are even bolted to the shop floor|||that over the past decade, it has installed computer sensors and shutoff valves, sensitive to the shake of an earthquake, in the pipes that snake through its plants
Expansion|||That's certainly good news for such companies as Compaq Computer Corp., Houston, which has only a four-day supply of microprocessors from the Valley on hand because of a just-in-time manufacturing approach that limits the buildup of inventory|||it foresees no difficulties in obtaining parts in the immediate future
Expansion|||Computer makers were scrambling to help customers recover from the disaster|||Digital Equipment has set up disaster-recovery response centers in Dallas, Atlanta and Colorado Springs, Colo
Expansion|||they, too, fared as well as could be expected|||Lawrence Livermore National Laboratory had only "superficial damage
Expansion|||The harvest arrives in plenty after last year's drought-ravaged effort|||The government estimates corn output at 7.45 billion bushels, up 51% from last fall
Expansion|||The government estimates corn output at 7.45 billion bushels, up 51% from last fall|||Soybean production swells 24%
Expansion|||But don't expect too much in the way of price breaks soon at the supermarket|||Economists expect consumer food prices to jump 5.5% this year to the highest level since 1980 and up from last year's 4.1% rise
Expansion|||blaming other costs|||Labor takes the biggest single chunk out of the `food dollar
Expansion|||Costly infertility problems and procedures proliferate as aging baby boomers and others decide to have children|||It's estimated that one in six couples experiences infertility
Expansion|||that 84% of the 50 births they followed occurred after only two in vitro cycles|||that births were "extremely unlikely" after the fourth cycle and concludes couples who don't achieve a pregnancy after four to six procedures should be advised that success is unlikely
Expansion|||MARKET MOVES, these managers don't|||Only three of the 25 corporate pension fund managers attending a Lowry Consulting Group client conference say they plan to change the asset allocation mix in their portfolios because of the market drop
Expansion|||Companies get more political clout plus a possible tax-deductible charitable donation -- so far no word from the IRS on deductibility|||Detroit Edison, the plan pioneer, generated $54,000 in matching funds this year, up from $39,000 in 1988
Expansion|||Two election commission members opposed the matching plans|||Scott E. Thomas says the plans give employees "a bonus in the form of charitable donations made from an employer's treasury" in exchange for the political donation
Expansion|||the plans give employees "a bonus in the form of charitable donations made from an employer's treasury" in exchange for the political donation|||The U.S. government could be, in effect, subsidizing political contributions to corporate PACs
Expansion|||some companies take steps to ease the usual 11th-hour crush|||Spiegel promises a "Guaranteed Christmas," with a pledge to deliver goods before Christmas if ordered by Dec. 20
Expansion|||People are just used to living in a last-minute society|||part of the reason catalog sales grow in popularity is because consumers have more money but less time to spend it
Expansion|||that Pathe will take 50% of Odeon, Rome film producer Bruno Lucisano will take 10% and the remaining 16.66%, currently owned by Sasea, will eventually be sold to other investors|||Calisto Tanzi, Odeon's owner, will retain his 23.34% stake
Expansion|||And the egg producers have done a pretty good job|||They tried to put Mr. Maynard out of business by an act of Congress
Expansion|||They tried to put Mr. Maynard out of business by an act of Congress|||Egg-industry lobbying helped persuade six states to ban Mr. Maynard's automatic egg-breaking machine because of fears over salmonella
Expansion|||His company, Misa Manufacturing Inc., was forced to seek protection from creditors under federal bankruptcy law in 1987 and has since been liquidated|||Monthly sales of his Egg King machine have sunk to about half a dozen from a peak of 75
Expansion|||Part of the answer lies in the nature of the industry|||Many larger egg producers are also egg processors, who crack, inspect, and sanitize billions of eggs, turning them into powdered, liquified or frozen egg products
Expansion|||Mr. Maynard claims this is a manageable problem|||The Egg King carries written instructions to break only high-grade eggs that have been properly sanitized and, as an added precaution, to use the eggs only in products that will be cooked enough to kill bacteria
Expansion|||The Egg King carries written instructions to break only high-grade eggs that have been properly sanitized and, as an added precaution, to use the eggs only in products that will be cooked enough to kill bacteria|||With nearly 4,000 machines in use, there have been no salmonella problems as long as instructions were followed
Expansion|||Leading the assault against the Egg King has been United Egg Producers|||The Decatur, Ga., trade group has issued a "briefing book" that claims the machine is "a health hazard" and that Mr. Maynard is trying "to make a fast buck at the expense of the nation's egg producers
Expansion|||and that Mr. Maynard is trying "to make a fast buck at the expense of the nation's egg producers|||The UEP declines to comment, but the group's attorney, Alfred Frawley, says the group's actions are motivated solely by "health concerns
Expansion|||An early battleground was the U.S. Department of Agriculture|||Mr. Maynard initially won approval for his machine to be used at egg-processing facilities regulated by the USDA's Food Safety Inspection Service
Expansion|||So the producers went to Capitol Hill, where a congressman from Georgia introduced a measure to ban centrifugal egg-breaking machines|||Mr. Maynard enlisted his local congressman
Expansion|||But Ford, Jaguar's biggest shareholder since lifting its stake to 10.4% this week, is pressing harder for talks with Sir John|||We're getting to the point where we are going to have to meet" with him, one Ford official said yesterday
Expansion|||since the U.S. auto giant launched a surprise bid for as much as 15% of Jaguar last month|||Ford has signaled it might acquire a majority interest later
Expansion|||that GM, a longtime Jaguar supplier, agrees "we should remain an independent company|||Jaguar started negotiating with GM and several other car makers over a year ago, but the rest "dropped by the wayside ever since the share price went above #4 ($6.30) a share
Expansion|||A typical British executive car is mass produced and smaller than a luxury car|||It generally fetches no more than #25,000 ($39,400
Expansion|||An executive model would significantly boost Jaguar's yearly output of 50,000 cars|||You are talking about a couple hundred thousand a year
Expansion|||That may be difficult when you have somebody else breathing down your neck|||Ford probably would try to kill the proposal by enlisting support from U.S. takeover-stock speculators and holding out the carrot of a larger bid later, said
Expansion|||until U.K. government restrictions expire|||The anti-takeover measure prevents any outside investor from buying more than 15% of Jaguar shares without permission until Dec. 31, 1990
Expansion|||But with its 10.4% stake, Ford can convene a special Jaguar shareholders' meeting and urge them to drop the restrictions prematurely|||It's a very valuable weapon in their armory," which could enable Ford to bid sooner for Jaguar
Expansion|||but also symbols through which the state of a society can be construed|||The rubble after the Armenian earthquake a year ago disclosed, quite literally, a city whose larger structures had been built with sand
Expansion|||The larger parallel after the earthquake centered south of San Francisco is surely with the state of the U.S. economy|||Did the stock-market tremors of Friday, Oct. 13, presage larger fragility, far greater upheavals
Expansion|||The eerie complacency of the Reagan-Bush era has produced Panglossian paeans about the present perfection of U.S. economic and social arrangements|||A licensed government intellectual, Francis Fukuyama, recently announced in The National Interest that history is, so to speak, at an end since the course of human progress has now culminated in the glorious full stop of American civilization
Expansion|||This is indeed what the market decided|||By 1982 the ratio was 43.5%, meaning that the market was valuing every dollar's worth of the average firm's assets at 43 cents
Expansion|||But here is where the entrepreneur made a very risky bet, and where society was maybe foolish to look the other way|||The profit rate is still low and the Q ratio was only 65% in 1987 and 68.9% in 1988
Expansion|||But there were enough promoters announcing the end of history for society to continue shielding its eyes|||Mainstream economists and commentators, craning their necks up at the great pyramids of junk financing, swiveling their heads to watch the avalanche of leveraged buy-outs, claimed the end result would be a leaner, meaner corporate America, with soaring productivity and profits and the weaker gone to the wall
Expansion|||But this is not where the rewards of junk financing were found|||The beneficiaries were those financiers whose icon was the topic figure of '80s capitalism
Expansion|||Left-stream economists I associate with were not hypnotized in the manner of their pliant colleagues|||All along they have been noting the tremors and pointing out the underlying realities
Expansion|||and pointing out the underlying realities|||Profit rates after the great merger wave are no higher, and now we have an extremely high-interest burden relative to cash flow
Expansion|||The consequences of building empires with sand are showing up|||In contrast to previous estimates reckoning the default rate on junk bonds at 2% or 3%, a Harvard study published in April of this year found the default rate on these junk bonds is 34%
Expansion|||Attacks on inflation come with another strategy of capital of a very traditional sort: an assault on wages|||Mr. Fukuyama said in his essay that "the class issue has actually been successfully resolved in the West
Expansion|||These are long-term Richter readings on American capitalism|||The whole structure is extremely shaky
Expansion|||But sophistication has its limits|||The S&L bailout could cost $300 billion, computing interest on the government's loans
Expansion|||The S&L bailout could cost $300 billion, computing interest on the government's loans|||These are real costs
Expansion|||Called Patients in the Know, the program features fact sheets designed to be easy to understand|||The sheets tell how the medicine works, describe how to use it and list its possible side effects
Expansion|||Consumer groups have long advocated that drug companies and doctors make more information available to patients|||that every drug that's marketed to a consumer should have a consumer label
Expansion|||Money isn't the only thing that makes her dump once favorite brands|||After she heard about the artery-clogging hazards of tropical oils in many cookies, she dropped Pepperidge Farm and started buying brands free of such oils
Expansion|||While brand loyalty is far from dead, marketing experts say it has eroded during the 1980s|||Marketers themselves are partly to blame
Expansion|||The Wall Street Journal's "American Way of Buying" survey this year found that most consumers switch brands for many of the products they use|||For the survey, Peter D. Hart Research Associates asked some 2,000 consumers, including Mrs. Lombardi, whether they usually buy one brand of a certain type of product or have no brand loyalty.
